title;address;longitude;latitude;time;requirements;depot
Орджоникидзе;Орджоникидзе, 11с7;37,592186;55,708212;21:00 - 23:59;1;0
Дубининская;Ул. Дубининская 55 с2;37,63606;55,721381;21:00 - 23:59;1;0
Коптево;Большая Академическая 47с2;37,535107;55,835068;21:00 - 23:59;1;0
Вернадская;проспект Вернадского 39;37,506038;55,67559;21:00 - 23:59;1;0
Шмитовская;Шмитовский, 16с2;37,546974;55,758114;21:00 - 23:59;2;0
Леонтьевский;Леонтьевский переулок, дом 2Ас2;37,601852;55,758073;21:00 - 22:00;2;0
Профсоюзная;Профсоюзная 18/1;37,567267;55,683077;21:00 - 23:00;2;0
Москва-Сити;Тестовская, 1;37,532098;55,74785;21:00 - 23:59;1;0
Люсиновская;Люсиновская, 64;37,6218691;55,7173051;21:00 - 23:59;1;0
Нагатинская;Нагатинская улица, 16с5;37,643668;55,678072;21:00 - 23:59;1;1
Ярославская;Мытищи, улица Борисовка, 16А;37,7107448;55,9160012;21:00 - 22:00;1;0
Ореховый;Ореховый проезд, 35к2;37,734982;55,618308;21:00 - 23:59;1;0
Народного ополчения;Народного ополчения 23к1;37,47845;55,779089;;;0
Базовская;Базовская 15а;37,510439;55,880934;;;0
Окружная;Локомотивный пр-д, 21;37,573564;55,845259;;;0
Большая Дмитровка;Большая Дмитровка, 23с1;37,6097142;55,7660043;21:00 - 23:59;1;0
Панфилова;Панфилова 2с2;37,501582;55,799391;21:00 - 22:00;1;0
Фрунзенская;Фрунзенская набережная, дом 30с2;37,5846126;55,7245849;21:00 - 23:59;2;0
Рублевка;Аминьевское шоссе 26б;37,452462;55,717203;;;0
Международная;Международная улица, 38;37,6884651;55,741716;21:00 - 23:59;2;0
Щукинская;Авиационная 66;37,459999;55,809611;21:00 - 23:59;1;0
Велозаводская;Велозаводская, 7;37,6659724;55,7132123;21:00 - 23:59;1;0
Нагорная;Севастопольский проспект 20б;37,596929;55,681656;21:00 - 23:59;1;0
Бутырская;Бутырская ул, 46;37,584137;55,800909;21:00 - 23:59;2;0
Митино;Митинская ул 25к4;37,363906;55,843323;21:00 - 22:00;1;0
Измайлово;7-я Парковая улица, дом 15к2;37,791495;55,797751;21:00 - 23:59;1;0
Симферопольская;Симферопольский бульвар, 22к3;37,604708;55,646985;21:00 - 23:59;1;0
Красносельская;Верхняя Красносельская улица, 11Ас1;37,6626035;55,7832727;21:00 - 22:00;1;0
Жулебино;Привольная, 25;37,846149;55,697102;21:00 - 23:59;1;0
Самотёчный;Селезнёвская, 15а;37,60686;55,781447;;;0
Римского-Корсакова;Римского-Корсакова 11 к 8;37,603424;55,875925;21:00 - 22:00;1;0
Доброслободская;Доброслободская, 21;37,675711;55,765397;21:00 - 23:59;1;0
Осенняя;Осенняя улица, дом 23;37,404065;55,766797;21:00 - 23:59;1;0
Докучаев;Докучаев переулок, дом 2;37,642132;55,774305;21:00 - 22:00;2;0
Кутузовская;Кутузовская 36с4;37,5263062;55,7399773;21:00 - 23:59;2;0
Подсосенская;Подсосенский переулок, 26с3;37,653379;55,755327;21:00 - 23:59;2;0
Обручева;Обручева, 16;37,514303;55,6586721;21:00 - 23:59;1;0
Бескудниковский;Бескудниковский бульвар, 40к2;37,550271;55,874152;;;0
Варшавская;Варшавское шоссе, 132с9;37,610449;55,620901;21:00 - 23:59;1;0
Бабушкинская;Летчика Бабушкина 33;37,672208;55,872001;21:00 - 23:59;1;0
Пятницкая;Пятницкая 46с2;37,6277646;55,7367062;21:00 - 23:59;1;0
Коломенская;Коломенская ул. 23 к2;37,692393;55,676585;21:00 - 23:59;1;0
Константинова;улица Константинова, 11а;37,6552655;55,8168913;21:00 - 23:59;1;0
Кастанаевская;ул. Кастанаевская 32к3;37,483508;55,737436;21:00 - 23:59;1;0
Северное Бутово;Грина 11Б;37,566647;55,566873;21:00 - 23:00;1;0
Новогиреево;Металлургов 62;37,808581;55,758742;21:00 - 23:59;1;0
Богородское;Просторная, 1;37,710997;55,805199;21:00 - 23:59;1;0
Ленинградская;Ленинградский проспект, дом 47с1;37,5328082;55,7993207;21:00 - 23:59;2;0
Сущевка;Сущевский Вал 43с2;37,610116;55,793829;;;0
Свиблово;ул. Снежная,13;37,645618;55,852202;;;0
Херсонская;Обручева 45;37,556936;55,651084;21:00 - 23:59;1;0
Авангардная;Авангардная, 5с2;37,48941;55,844268;21:00 - 23:59;2;0
Бунинские луга;улица Александры Монаховой, дом 94;37,485116;55,542681;21:00 - 23:59;1;0
Марьино;Перерва, 30;37,733653;55,652563;21:00 - 23:59;1;0
Стромынка;улица Стромынка, 15;37,695681;55,794391;21:00 - 23:00;1;0